Order Reference,Vendor,Buyer,Created on,Order Deadline,Activities,Source Document,Total,Status
P000001,Puregold Supermarket,Michael Cartagena,01/13/2025,01/24/2025,,,80414,Purchase Order
P000002,San Miguel Purefoods,Michael Cartagena,01/12/2025,02/17/2025,,,21000,Purchase Order
P000003,Monde Nissin Corp.,Michael Cartagena,01/11/2025,02/11/2025,,,23683,Purchase Order
P000004,Nestlé Philippines,Michael Cartagena,01/24/2025,02/26/2025,,,27213,Purchase Order
P000005,San Miguel Purefoods,Michael Cartagena,01/24/2025,03/01/2025,,,44777,Purchase Order
P000006,Universal Robina Corp.,Michael Cartagena,01/31/2025,03/15/2025,,,51217,Purchase Order
P000007,M.Y. San Corp.,Michael Cartagena,01/29/2025,03/03/2025,,,76935,Purchase Order
P000008,San Miguel Purefoods,Michael Cartagena,02/05/2025,03/13/2025,,,85819,Purchase Order
P000009,Monde Nissin Corp.,Michael Cartagena,02/11/2025,03/14/2025,,,11849,Purchase Order
P000010,Rebisco,Michael Cartagena,02/18/2025,03/25/2025,,,27029,Purchase Order
P000011,M.Y. San Corp.,Michael Cartagena,02/21/2025,03/26/2025,,,43046,Purchase Order
P000012,Monde Nissin Corp.,Michael Cartagena,03/04/2025,04/04/2025,,,80345,Purchase Order
P000013,Universal Robina Corp.,Michael Cartagena,03/05/2025,04/17/2025,,,36790,Purchase Order
P000014,San Miguel Purefoods,Michael Cartagena,03/07/2025,04/12/2025,,,44471,Purchase Order
P000015,Century Pacific Group,Michael Cartagena,03/04/2025,04/11/2025,,,90059,Purchase Order
P000016,Puregold Supermarket,Michael Cartagena,03/24/2025,04/04/2025,,,29959,Purchase Order
P000017,Puregold Supermarket,Michael Cartagena,03/17/2025,03/28/2025,,,64198,Purchase Order
P000018,Rebisco,Michael Cartagena,04/11/2025,05/16/2025,,,34062,Purchase Order
P000019,Rebisco,Michael Cartagena,04/06/2025,05/11/2025,,,85774,Purchase Order
P000020,M.Y. San Corp.,Michael Cartagena,04/14/2025,05/17/2025,,,40133,Purchase Order
P000021,Century Pacific Group,Michael Cartagena,04/21/2025,05/29/2025,,,60204,Purchase Order
P000022,Century Pacific Group,Michael Cartagena,04/22/2025,05/30/2025,,,46905,Purchase Order
P000023,Monde Nissin Corp.,Michael Cartagena,05/01/2025,06/01/2025,,,90510,Purchase Order
P000024,Rebisco,Michael Cartagena,04/28/2025,06/02/2025,,,63171,Purchase Order
P000025,Nestlé Philippines,Michael Cartagena,05/20/2025,06/22/2025,,,87789,Purchase Order
P000026,Rebisco,Michael Cartagena,05/17/2025,06/21/2025,,,42677,Purchase Order
P000027,M.Y. San Corp.,Michael Cartagena,06/04/2025,07/07/2025,,,16767,Purchase Order
P000028,San Miguel Purefoods,Michael Cartagena,06/03/2025,07/09/2025,,,40983,Purchase Order
P000029,Nestlé Philippines,Michael Cartagena,06/05/2025,07/08/2025,,,48401,Purchase Order
P000030,Universal Robina Corp.,Michael Cartagena,06/13/2025,07/26/2025,,,48145,Purchase Order
P000031,Monde Nissin Corp.,Michael Cartagena,06/14/2025,07/15/2025,,,56489,Purchase Order
P000032,M.Y. San Corp.,Michael Cartagena,06/10/2025,07/13/2025,,,65279,Purchase Order
P000033,M.Y. San Corp.,Michael Cartagena,06/16/2025,07/19/2025,,,75503,Purchase Order
P000034,Monde Nissin Corp.,Michael Cartagena,06/25/2025,07/26/2025,,,69144,Purchase Order
P000035,Rebisco,Michael Cartagena,06/30/2025,08/04/2025,,,53601,Purchase Order
P000036,Rebisco,Michael Cartagena,07/09/2025,08/13/2025,,,57591,Purchase Order
P000037,Monde Nissin Corp.,Michael Cartagena,07/09/2025,08/09/2025,,,18314,Purchase Order
P000038,Nestlé Philippines,Michael Cartagena,07/14/2025,08/16/2025,,,4077,Purchase Order
P000039,Monde Nissin Corp.,Michael Cartagena,07/18/2025,08/18/2025,,,35941,Purchase Order
P000040,Puregold Supermarket,Michael Cartagena,07/23/2025,08/03/2025,,,78446,Purchase Order
P000041,Puregold Supermarket,Michael Cartagena,08/01/2025,08/12/2025,,,79072,Purchase Order
P000042,Universal Robina Corp.,Michael Cartagena,08/06/2025,09/18/2025,,,77036,Purchase Order
P000043,Century Pacific Group,Michael Cartagena,08/09/2025,09/16/2025,,,13462,Purchase Order
P000044,Rebisco,Michael Cartagena,08/10/2025,09/14/2025,,,61303,Purchase Order
P000045,M.Y. San Corp.,Michael Cartagena,08/15/2025,09/17/2025,,,36496,Purchase Order
P000046,San Miguel Purefoods,Michael Cartagena,08/23/2025,09/28/2025,,,62332,Purchase Order
P000047,Nestlé Philippines,Michael Cartagena,08/26/2025,09/28/2025,,,45578,Purchase Order
P000048,Rebisco,Michael Cartagena,08/23/2025,09/27/2025,,,80311,Purchase Order
P000049,Puregold Supermarket,Michael Cartagena,08/25/2025,09/05/2025,,,32122,Purchase Order
P000050,Century Pacific Group,Michael Cartagena,09/09/2025,10/17/2025,,,27972,Purchase Order
P000051,Century Pacific Group,Michael Cartagena,09/06/2025,10/14/2025,,,50002,Purchase Order
P000052,Rebisco,Michael Cartagena,09/10/2025,10/15/2025,,,68005,Purchase Order
P000053,Nestlé Philippines,Michael Cartagena,09/15/2025,10/18/2025,,,44166,Purchase Order
P000054,M.Y. San Corp.,Michael Cartagena,09/22/2025,10/25/2025,,,78402,Purchase Order
